frame_idx,reward,TPS,NTL,c1,c2,c3,c4,c5,c6,c7,c8
68,2.5501411229653903,1632.4109893794086,1.8337728436532588,5,2,20,100,50,500,80,3
69,1.0215688443796098,1565.5615250412939,1.8172078450520834,5,2,20,100,50,500,80,6
70,1.6793830711549258,1594.148561912236,1.9111624457565841,5,2,20,100,50,500,80,6
71,2.0861797712313135,1612.497460953357,1.7956368932434466,1,2,20,100,50,500,80,6
72,1.444708626332386,1585.7015982463815,1.8030673310549503,1,2,20,100,50,500,80,6
73,2.1155763177634515,1613.2267101984269,1.7960252815988835,1,2,20,100,50,500,80,6
74,1.3520184316588466,1581.372399189247,1.7634610431091329,1,2,20,100,50,500,80,6
75,2.8594483771834556,1640.7075187748067,1.76548830472506,1,2,20,100,50,500,80,6
76,2.8175565620848215,1642.9320497142853,1.837840339882402,1,2,20,100,50,500,80,6
77,0.9351524211125034,1561.2847915259608,1.853517575846639,1,2,20,100,50,500,80,6
78,1.677315670028711,1593.8611418687958,1.8081894773398266,1,2,20,100,50,500,80,6
79,1.905142201115783,1605.0805203715126,1.8375852940285853,1,2,17,100,50,500,80,6
80,1.7185697107497862,1597.6829769217115,1.853671945835394,1,2,17,100,50,500,80,6
81,2.4633308950265826,1627.335566217782,1.8004647200294968,1,2,17,100,50,500,80,9
82,1.8787723449504934,1605.6246764095247,1.850704438505117,1,2,17,100,50,500,80,12
83,3.5312526774119086,1657.2676609710131,1.7603514548956523,1,6,8,50,100,300,60,3
84,3.1016673803638954,1654.014438250253,1.7917078747162287,1,6,8,50,100,300,60,3
85,1.9193480072558522,1608.6561434468338,1.800382805964687,1,6,8,50,100,500,60,3
86,2.0755090319482217,1612.8272800705922,1.8280683888918592,1,6,8,50,100,500,60,6
87,2.7102555710697738,1637.3457708043013,1.7904183834940504,1,6,8,50,100,500,60,9
88,2.958045169453523,1647.719644101454,1.8425103106973029,1,6,8,50,100,500,60,12
89,2.100735555152457,1615.8901955044546,1.8338090845662687,1,6,8,50,100,500,60,15
90,2.516392347179529,1630.3845203678309,1.7970423756561082,1,6,8,50,100,500,60,15
91,2.268255290452789,1621.6794100954664,1.7850271613763677,1,6,8,50,100,300,60,15
92,0.826651346172666,1554.6973298824446,1.8187264937010763,1,6,8,50,100,500,60,15
93,0.8254187498108531,1552.720417106385,1.7875224937683356,1,6,8,50,100,500,60,15
94,2.1718351133351885,1613.6676692764634,1.8748295290757895,1,6,8,50,100,500,60,15
95,1.8322048344435358,1602.9811061647092,1.8428238729426334,1,6,8,50,100,500,60,15
96,3.3476895012940333,1658.6955846464484,1.870481623267785,1,6,8,50,100,500,60,15
97,1.6146746511973766,1595.4978989422912,1.7513599402829314,1,6,11,50,100,500,60,15
98,1.1573020740338047,1571.2273107647889,1.8040761571921786,1,6,11,50,100,500,60,15
99,1.7086857710360763,1595.675375281819,1.8135778687189203,1,6,11,50,100,500,60,15
100,2.5615390936304903,1630.8748656481655,1.7686330825509156,1,6,11,50,100,500,60,15
101,1.393761946042563,1584.0648194138485,1.8601908235825724,1,6,11,50,100,500,60,15
102,2.853829519442846,1640.6809011027572,1.8056429552216244,1,6,11,50,100,500,60,15
103,1.7176823904138092,1599.2949428587096,1.800279902068662,1,6,11,50,100,500,60,15
104,1.2525235827823438,1576.0475061510995,1.7644455653972317,1,6,11,50,100,500,60,15
105,1.4991234699149785,1586.6533559651004,1.7212306384917297,1,6,11,50,100,500,60,15
106,1.4295410211725268,1583.9233037708955,1.8786881895549339,1,6,11,50,100,500,60,15
107,2.6036723339359567,1631.7207589601585,1.788197913406024,1,6,11,50,100,500,60,15
108,2.5742202568617265,1633.474465546728,1.8139657992906066,1,6,11,50,100,500,60,15
109,0.6747391616879647,1546.3094875343982,1.7605419022455058,1,6,11,50,100,500,60,15
110,2.225749624084536,1615.4005647819563,1.811059793765685,1,6,11,50,100,500,60,15
111,1.591426159281133,1592.5310213511414,1.7808517187861355,1,6,11,50,100,500,60,15
112,1.382210374448867,1581.9643567258024,1.805123284146392,1,6,11,50,100,500,60,15
113,4.066143149141044,1679.6476019965783,1.8219618400286208,1,6,11,50,100,500,60,15
114,2.7207559547055586,1641.769398190411,1.8108749394525008,1,6,11,50,100,500,60,15
115,2.563548567389652,1633.6652532959688,1.7794585330847539,1,6,11,50,100,500,60,15
116,1.569570988984655,1592.3462949274376,1.777087162990196,1,6,11,50,100,500,60,15
117,2.649131124952319,1633.883991296367,1.8505702113246059,1,6,11,50,100,500,60,15
118,1.23288242281425,1576.3881923017746,1.7613252573217093,1,6,11,50,100,500,60,15
119,2.354925455274059,1622.0205347519216,1.8553660707610646,1,6,11,50,100,500,60,15
120,4.178353414346082,1686.0680662751572,1.8749453968615728,1,6,11,50,100,500,60,15
121,2.63956978456674,1639.1216530586648,1.8217110059469235,1,6,11,50,100,500,60,15
122,2.1024467433076772,1615.5115755991908,1.801000654112618,1,6,11,50,100,500,60,15
123,1.553496444605856,1590.823816967853,1.7693549343752564,1,6,11,50,100,500,60,15
124,0.8467795339674351,1552.2647775390233,1.6607995443910626,1,6,8,50,100,100,60,3
125,0.34075905576133986,1524.094207479451,1.5982184530396626,1,6,8,50,100,100,60,3
126,0.6703609679719273,1543.3770269616973,1.6047013880842822,1,6,8,50,100,100,60,3
127,0.3554360381123803,1524.9118362751312,1.6443907957083777,1,6,8,50,100,100,60,3
128,0.17974705696656465,1513.0217500675858,1.6156559330455045,1,6,8,50,100,100,60,3
129,0.2290836454177494,1516.2629361542317,1.6432978091032608,1,6,8,50,100,100,60,3
130,0.2938774772459393,1520.5682312572928,1.6954510811047676,1,6,8,50,100,100,60,3
131,0.015317373064950771,1501.15917731398,1.6877070103701148,1,6,8,50,100,100,60,3
132,0.4290557516911664,1528.8268638086406,1.6306171683315809,1,6,8,50,100,100,60,3
133,-0.028427569558284353,1497.9245326917871,1.6785845309327552,1,6,8,50,100,100,60,3
134,0.20499966783411647,1514.5053040413513,1.6780976086128048,1,6,8,50,100,100,60,3
135,-0.04910144012053002,1496.4039908182633,1.6611352503602714,1,6,8,50,100,100,60,3
136,0.16170814416193413,1511.5609770801484,1.695774303318299,1,6,8,50,100,100,60,3
137,0.05903616352939119,1504.3847467009493,1.6314098034874867,1,6,8,50,100,100,60,3
138,0.07203023796280443,1505.305149324204,1.6428303603584884,1,6,8,50,100,100,60,3
139,0.0393057600462513,1502.924101120037,1.6220560259428785,1,6,8,50,100,100,60,3
140,0.05038193066172088,1503.7302368794606,1.6741091255614104,1,6,8,50,100,100,60,3
141,3.720963991749442,1663.3489549849985,1.728914824118226,1,6,8,50,100,300,60,3
142,1.1673180560058845,1574.170852526077,1.6485814008763227,1,6,8,50,100,300,60,1
143,0.6300567178539674,1542.274443241042,1.6910959961421126,1,6,8,50,100,300,60,1
144,2.0626707869419856,1608.8248441581359,1.6810927691663737,1,6,8,50,100,300,60,1
145,2.103450039561614,1613.9638793851545,1.687153991463106,1,6,8,50,100,300,60,1
146,2.9218090143133497,1644.9608640311699,1.6762156411267202,1,6,8,50,100,300,60,1
147,3.091664425622937,1652.8689961997322,1.6987350743050078,1,6,8,50,100,300,60,1
148,2.538893584246405,1633.3841197549734,1.6855463811164892,1,6,8,50,100,300,60,1
149,2.153281990484615,1617.2670350805092,1.6817921847846953,1,6,8,50,100,300,60,1
150,2.7829218060816387,1640.2391846275757,1.6180956985445005,1,6,8,50,100,300,60,1
151,3.3461295694842703,1661.1887605732486,1.6617902095734127,1,6,8,50,100,300,60,1
152,4.029451025216804,1684.524577749457,1.6594958860482742,1,6,8,50,100,300,60,1
153,2.932064898061405,1649.7687241710594,1.688236108391152,1,6,8,50,100,300,60,1
154,3.5963062616811725,1670.053233479291,1.7280320001132246,1,6,8,50,100,300,60,1
155,3.79753149778821,1677.9374571242943,1.6557780020318986,1,6,8,50,100,300,60,1
156,2.4996829350122245,1633.335002395341,1.6600399576822917,1,6,8,50,100,300,60,1
157,3.188941098489372,1655.4392223563555,1.6414691652144837,1,6,8,50,100,300,60,1
158,3.603130011675784,1670.6730347992777,1.700532419547824,1,6,8,50,100,300,60,1
159,1.8572445523255385,1606.8053762484763,1.6579372442336309,1,6,8,50,100,300,60,1
160,3.5875042430805473,1666.7282871091807,1.657109905260181,1,6,8,50,100,300,60,1
161,3.2761287855681656,1660.6188775676571,1.665862513849535,1,6,8,50,100,300,60,1
162,4.7382983990936935,1705.4040146439274,1.655367608315591,1,6,8,50,100,300,60,1
163,3.7795694502419543,1679.896306398192,1.634602909627729,1,6,8,50,100,300,60,1
164,3.2801568808866883,1661.6323878315216,1.6411784533593268,1,6,8,50,100,300,60,1
165,0.8757844394135198,1553.772424057678,1.6547420849001877,1,6,8,50,100,100,60,3
166,0.4872990757782496,1533.3313797499118,1.5411726157362615,1,6,8,50,100,100,60,3
167,0.43543376497784986,1529.7776928094129,1.5935165084144816,1,6,8,50,100,100,60,3
168,0.2510820680301942,1517.9092564849973,1.633551115268365,1,6,8,50,100,100,60,3
169,0.36651244385379017,1525.2339221936281,1.6290597265491178,1,6,8,50,100,100,60,3
170,0.41424384635735945,1528.3300448835569,1.5898144142341561,1,6,8,50,100,100,60,3
171,0.2887635196365976,1520.3852409498963,1.593573157413,1,6,8,50,100,100,60,3
172,0.5499134034054397,1536.3976897141802,1.6029668757891413,1,6,8,50,100,100,60,3
173,0.20954703396139637,1515.1692033441004,1.6352250103789252,1,6,8,50,100,100,60,3
174,0.45440486260378177,1530.6127090211503,1.6056599618262208,1,6,8,50,100,100,60,3
175,0.17423276897984663,1512.6858813827787,1.648698212594697,1,6,8,50,100,100,60,3
176,0.22804018202671802,1516.18979088235,1.6223917812418789,1,6,8,50,100,100,60,3
177,0.0878577359062688,1506.4912946571947,1.6141583487350422,1,6,8,50,100,100,60,3
178,0.19240706748622052,1513.7328577515555,1.598793227497329,1,6,8,50,100,100,60,3
179,0.2710637833957558,1519.049077689181,1.6031856240603521,1,6,8,50,100,100,60,3
180,0.1309006285832321,1509.5736545708016,1.5969566001548423,1,6,8,50,100,100,60,3
181,0.3319865896251584,1522.928297473871,1.6449549545476465,1,6,8,70,100,100,60,3
182,0.19009413237019573,1513.7166641702108,1.6391845785577086,5,6,8,70,100,100,60,3
183,0.4669040537286115,1531.3406645091932,1.5802999026759141,9,6,8,70,100,100,60,3
184,0.15373127151662877,1511.260389087966,1.597788072486226,9,6,8,90,100,100,60,3
185,0.20477364729520237,1514.6123040216758,1.6068917543510948,13,6,8,90,100,100,60,3
186,0.260747520121827,1518.3812827497738,1.6084697741591045,13,6,8,100,100,100,60,3
187,0.3823114756958725,1526.232119780057,1.594930942845256,13,6,8,100,100,100,60,3
188,0.260554624064411,1518.500236057147,1.5938768451716625,13,6,8,100,100,100,60,3
189,0.23470550601783996,1516.6948111622812,1.634649306433266,13,6,8,100,100,100,60,3
190,0.194531516847981,1513.9659973294713,1.614838588892487,13,6,8,100,100,100,60,3
191,0.44796959721561097,1530.2009368422798,1.638217965309536,13,6,8,100,100,100,60,3
192,0.3199944640091267,1522.44293052898,1.5970949221471178,13,6,8,100,100,100,60,3
193,0.49189361377073554,1533.0064011846237,1.6118143298825445,13,6,8,100,100,100,60,3
194,0.19959475282060374,1514.4563443968939,1.623753205128205,13,6,8,100,100,100,60,3
195,0.4020107154574987,1527.393980447415,1.5760256329274684,13,6,8,100,100,100,60,3
196,0.2586790180314112,1518.3888250662287,1.6329913249713055,13,6,8,100,100,100,60,3
197,0.12613887576026758,1509.2336056268857,1.5894191038995726,13,6,8,100,100,100,60,3
198,0.3636520983416078,1524.9228107945507,1.609000494064615,13,6,8,100,100,100,60,3
199,0.47881757366584893,1532.2683430823065,1.6051205265093347,13,6,8,100,100,100,60,3
200,0.32102516208508963,1522.5376180728244,1.57590473886659,13,6,8,100,100,100,60,3
201,0.2578607202800341,1518.2799342477692,1.6131123150480193,13,6,8,100,100,100,60,3
202,0.3548195525644444,1524.5017417112983,1.590547626457695,13,6,8,100,100,100,60,3
203,0.30944209561922964,1521.6838385963777,1.5601754747206584,13,6,8,100,100,100,60,3
204,0.328092394249909,1522.8480126612346,1.6266507194460647,13,6,8,100,100,100,60,3
205,0.24584229136296526,1517.4843363939817,1.6052999771017604,13,6,8,100,100,100,60,3
206,0.5102876838533926,1533.6559632547983,1.5766917395213293,5,6,8,50,100,100,60,3
207,0.13625118107559495,1510.042466620832,1.5908556725368026,9,6,8,50,100,100,60,3
208,0.5107882492611537,1533.886067881543,1.6421711259098895,9,6,8,50,100,100,60,3
209,0.17739135017768387,1512.9312336595904,1.6124391461571674,9,6,8,50,100,100,60,3
210,0.44514469376802035,1530.010967118623,1.5819199603427052,9,6,8,50,100,100,60,3
211,0.2535300465839654,1518.0752113855067,1.577102764599593,9,6,8,50,100,100,60,3
212,0.45089868066777117,1530.4526842820342,1.6361289407749369,9,6,8,50,100,100,60,3
213,0.23795385652403647,1517.0368499661581,1.625636022108789,9,6,8,50,100,100,60,3
214,0.29984985304837314,1520.9654797797023,1.577467941833206,9,6,8,50,100,100,60,3
215,0.3053745620661046,1521.3741001691344,1.5980732230983152,9,6,8,50,100,100,60,3
216,0.18745448741744478,1513.5224938685553,1.5824613897029631,9,6,8,50,100,100,60,3
217,0.5392338558019816,1535.6289369662804,1.583485376160247,9,6,8,50,100,100,60,3
218,0.21419471084557826,1515.4794801302867,1.5975967505536834,9,6,8,50,100,100,60,3
219,0.333138851278428,1523.0843663716485,1.5905139905186327,9,6,8,50,100,100,60,3
220,0.19060003113664542,1513.7526721403246,1.6517971518261185,9,6,8,50,100,100,60,3
221,1.7981242277895082,1596.6906342017282,1.5999565717271695,9,6,8,50,100,300,60,3
222,2.83139316257193,1640.6855081967258,1.7804927591083533,9,6,8,50,100,500,60,3
223,1.8687766152929541,1605.8507095628365,1.7828634794802602,9,6,8,50,100,700,60,3
224,2.5348010243925843,1630.4841613041604,1.8746541887321728,9,6,8,50,100,900,60,3
225,1.1544554758238952,1572.3415617350104,2.001333992569535,9,6,8,50,100,1100,60,3
226,0.0032409678358857282,1500.254536230014,2.238144653547995,9,6,8,50,100,1200,60,3
227,-0.050342125390266834,1496.2804329779246,2.194283363872479,9,6,8,50,100,1200,60,3
